"",".id","Start_time","End_time","tdiff_sec","n_time","DO_mgL_mean","DO_psat_mean","WaterTempC_mean","DO_mgL_sd","DO_psat_sd","WaterTempC_sd","DO_mgL_min","DO_psat_min","WaterTempC_min","DO_mgL_max","DO_psat_max","WaterTempC_max","DOmgL_X5.","DOmgL_X10.","DOmgL_X25.","DOmgL_X50.","DOmgL_X75.","DOmgL_X90.","DOmgL_X95.","DOpsat_X5.","DOpsat_X10.","DOpsat_X25.","DOpsat_X50.","DOpsat_X75.","DOpsat_X90.","DOpsat_X95.","Temp_X5.","Temp_X10.","Temp_X25.","Temp_X50.","Temp_X75.","Temp_X90.","Temp_X95.","Hyp_pr_sub2","Hyp_pr_sub3","Hyp_pr_sub4","Hyp_pr_sub5"
"165","nwis_02343241 _TS.csv",2010-06-01 04:00:00,2016-03-22 16:31:00,3600,221775,7.32520976199171,78.3394475592038,20.5305612817957,2.79998707767137,22.7818426393031,6.67431608020489,0.1,1.30850304124818,6.4,14.3,128.255089742886,31.4,2.6,3.4,5,7.6,9.8,10.8,11.3,33.320225468375,43.0275754988393,62.3294307075668,87.2928796187982,96.4123345873072,100.195105448659,102.192480384867,9.7,11.3,14.4,21.3,27,28.8,29.4,0.0216367071086885,0.0683997673569313,0.150194545511927,0.246813556418198
"166","nwis_02344630 _TS.csv",2008-06-01 04:00:00,2009-08-05 15:45:00,3600,274675,8.22480679414795,87.2857495980444,18.3869462230013,1.94714309442159,11.7648441875267,7.71348869913982,1.4,17.5448558552684,0.4,20,252.767883370944,35.5,5.5,6,6.7,8,9.7,11,11.5,68.0458744527482,73.2222775900429,80.3447180309461,87.7830302247652,95.9771441557706,100.379111459998,102.048337732037,6.4,7.8,11.5,18.9,25.4,28.3,29.4,0.000214774286785557,0.0012704445099688,0.00626121649612132,0.0238363055910479
"167","nwis_02344673 _TS.csv",2014-08-22 04:00:00,2015-03-11 04:45:00,900,76316,7.84566322519784,85.3800785384751,19.7780998178697,2.15344156377732,14.8100835278457,7.97617685403803,2.5,29.2321381766032,0.9,13.2,125.511845811862,34.7,4.2,5.1,6.3,7.8,9.6,10.7,11.4,53.9848166279769,62.4516832564424,78.6755296032633,90.1977938660876,95.3447225387046,99.1340622913951,101.430176596015,7.4,8.9,12.6,20.2,27.4,29.7,30.9,0,0.00606624390755202,0.040236360777737,0.0872202714742414
"168","nwis_02394682 _TS.csv",2016-06-01 04:00:00,2016-03-08 04:45:00,900,28629,8.9382181399085,93.5165019421307,16.8456745099414,1.46970891072146,8.5400083767956,5.54560290353643,3.1,29.5474574342891,1.7,13.3,108.484736334753,27.5,6.9,7.5,8,8.6,9.7,11.2,11.8,75.691039183667,81.524173379997,90.9996635218828,96.2944213050075,98.5875153871171,100.622826458617,102.178299224891,6.2,8.2,13.2,17.7,21.7,23.1,23.7,0,0,0.00139698948765411,0.00373694687947473
"169","nwis_02397530 _TS.csv",2008-06-01 04:00:00,2013-05-06 17:07:00,3600,277791,9.24764671158719,101.244613898887,19.2644662126352,1.74992869304495,22.8513876026456,8.01294294097648,2.1,29.0871446887217,3.8,19.9,275.990545219355,36.5,6.6,7.1,8,9.2,10.4,11.5,12.1,78.1917453858045,82.4812810078835,88.8905294257755,94.9638901353134,104.255420737766,131.987413062393,151.385800192884,7.6,8.7,12,19,26.6,30.4,31.4,0,2.87952084773094e-05,0.000115180833909237,0.00219203524533518
"170","nwis_02469100 _TS.csv",2014-06-01 04:00:00,2014-10-28 16:00:00,3600,11613,7.49572031344183,96.7331126808003,28.516076810471,0.866418963604877,12.7624559887322,3.18892827766099,2.9,39.0291611806695,20.9,10.3,716.273860520506,33.7,6.1,6.5,6.9,7.5,8.1,8.6,8.9,79.3782984574796,83.4509945857927,90.219004449841,96.9088084613457,103.532996295112,110.115715721576,115.2460525576,22.4,23.4,26,29.8,31.1,32,32.3,0,8.6102979163079e-05,0.000172205958326158,0.00301360427070777
"171","nwis_02473085 _TS.csv",2015-06-01 04:00:00,2015-03-11 04:45:00,900,67613,8.50815279277148,93.3456987347333,20.4598317016179,1.28165967161036,8.8535241683622,6.80504937944816,5.6,71.3922707300946,6.3,11.9,137.120613043997,33.6,6.7,6.9,7.5,8.3,9.6,10.4,10.6,81.5388001248049,83.8746249515862,87.88836635803,92.3094452738925,96.545848202034,104.89099359868,111.061251302057,9.9,11.1,14.3,20.7,26.7,29.4,30.4,0,0,0,0
"172","nwis_02492620 _TS.csv",2014-06-01 04:00:00,2015-03-11 04:45:00,900,98870,6.6897342286766,73.5286486604884,21.429374696061,1.82595946951174,14.0697441825853,6.50075147374321,1.1,12.0632355698107,6.1,11.2,146.698159122479,33.9,4,4.7,5.5,6.4,7.9,9.5,10,47.716361316854,56.3779606719113,66.2390785863626,75.3686378816634,83.3919674206578,88.8763847370467,91.4565732389278,10.6,12,15.9,22,27.6,29.3,30.2,0.00746344127343703,0.0222285147954127,0.0494832224267309,0.135181327238527
"173","nwis_03007800 _TS.csv",2011-07-08 04:00:00,2012-08-08 04:45:00,3600,107312,9.07406254659311,98.0555319286668,16.5766263463441,1.41157823013668,9.60156317218479,5.15124923454584,5.3,66.3479260472641,1.9,14.1,136.645485865565,30.6,6.9,7.3,8,9,10,11,11.5,83.3450516897558,86.4907940963458,91.5657101287636,97.0141968425848,104.173135597156,111.291516122355,115.32881733346,7.5,9.4,12.8,17.1,20.6,23,24,0,0,0,0
"174","nwis_03025500 _TS.csv",2011-08-06 04:00:00,2012-08-08 04:45:00,3600,104363,9.35714094075487,104.686919673534,18.8680937916231,2.22145147289381,26.2782672111259,5.40766660957862,3,37.6562399850798,2.9,17.7,200.028535276628,31.2,5.9,6.6,7.8,9.2,10.9,12.4,13.2,71.0647638715527,78.677179354009,88.3861450179405,97.0874842640217,117.579284782837,144.734551332283,159.575368050466,9.3,11,15.3,19.8,23,25.3,26.5,0,0,0.00361239136475571,0.0175828598258003
