COMID,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,HUDen2010Cat,PopDen2010Cat,HUDen2010Ws,PopDen2010Ws
14252087,12.0915,35.3799,100.0,100.0,0.5060939477342761,1.0374186298995163,0.5579607998957036,0.9952655279616393
14254075,4.1742,4.1742,100.0,100.0,0.890996863495041,1.9000776486610609,0.890996863495041,1.9000776486610609
14251973,3.9339,105.9714,100.0,100.0,0.5030149525165866,1.0399209833996796,0.48115961079781905,0.9002366891529224
14251835,2.0259,2.0259,100.0,100.0,0.4169813622430031,0.8296266964549089,0.4169813622430031,0.8296266964549089
14251977,2.6442,2.6442,100.0,100.0,0.5849284193294758,0.9733484698876788,0.5849284193294758,0.9733484698876788
14251957,1.7217,223.9713,100.0,100.0,0.503014952516989,1.0399209833978045,0.4402296888614746,0.8609794121403055
14254411,3.4668,3.4668,100.0,100.0,1.0032536572481827,2.3251098346858776,1.0032536572481827,2.3251098346858776
14253893,11.3472,31.9698,100.0,100.0,0.67503711085184,1.4406336903632613,0.6834385673103992,1.446785862034795
14251873,1.0332,45.4617,100.0,100.0,0.4169813622430314,0.8296266964547039,0.4169813622433829,0.8296266964563577
14251933,1.8909,1.8909,100.0,100.0,0.5030149525178487,1.0399209833983818,0.5030149525178487,1.0399209833983818
14254435,0.5517,88.9785,100.0,100.0,1.0064111003996736,2.33255621776509,0.5468812090962424,1.2168515003590754
14252045,3.6243,118.0872,100.0,100.0,0.5849284193295257,0.9733484698857711,0.561368624708097,0.9531870242287055
14254041,0.9585,23.5251,100.0,100.0,0.8757769920694836,1.871107076516432,0.8848631259726846,1.8884022618883662
14253969,0.0207,65.5254,100.0,100.0,0.5386237532869564,1.229345923947826,0.6425618552399527,1.3984501954646595
14254703,1.5498,1.5498,100.0,100.0,0.5030149525168409,1.0399209833972125,0.5030149525168409,1.0399209833972125
14254469,0.945,43.3107,100.0,100.0,0.9911602452857143,2.295528265257143,0.5483868665960144,1.2205071258275668
14252179,6.0732,7.623,100.0,100.0,0.5030149525163011,1.0399209833995258,0.5030149525159386,1.0399209833990557
14252265,9.1521,9.1521,100.0,100.0,0.503014952517455,1.039920983400531,0.503014952517455,1.039920983400531
14252155,1.0503,1.0503,100.0,100.0,0.5030149525167095,1.0399209834018852,0.5030149525167095,1.0399209834018852
14254129,0.7668,13.6512,100.0,100.0,0.538623753286385,1.229345923955399,0.538623753285865,1.2293459239517406
14252075,5.0274,5.0274,100.0,100.0,0.5030149525170068,1.0399209833995704,0.5030149525170068,1.0399209833995704
14254093,5.076,5.076,100.0,100.0,0.8909968634964539,1.9000776486524824,0.8909968634964539,1.9000776486524824
14252283,0.5364,39.6495,100.0,100.0,0.584928419330537,0.9733484698875838,0.5147608212665986,0.9133020969038702
14252245,0.7317,143.7291,100.0,100.0,0.4169813622435425,0.8296266964551046,0.41698136224271914,0.829626696453954
14254293,42.1641,42.1641,100.0,100.0,0.5386237532860894,1.2293459239492839,0.5386237532860894,1.2293459239492839
14252019,3.3471,107.0154,100.0,100.0,0.5849284193304652,0.9733484698870665,0.5589311312810119,0.9511011235681968
14254449,0.0585,87.8634,100.0,100.0,1.0064111004,2.332556217769231,0.5431670723915761,1.2078338501014074
14254429,1.2366,136.1898,100.0,100.0,1.0064111004002911,2.3325562177729258,0.5668935312102668,1.2686801607433156
